video_id,title,published_at,views,likes,comments
yS88vI1H6xU,the ugly truth about starting a business alone in your 20s,2024-03-29T15:00:52Z,278530,13316,297
ubRp9UhoPhA,how I *finally* found my $100K freelancing niche (+ how to find yours),2024-03-15T15:00:49Z,37695,1822,82
a_dnmMAweVM,"if you want to be a $100K freelancer, read these books.",2024-03-01T14:00:02Z,38701,2140,91
WwHeSa0xv4E,the complete beginner’s guide to freelancing in 2025,2024-02-16T15:15:00Z,161330,8309,296
23FVOZKiELg,20+ ways to make money as a freelancer in 2025,2024-02-09T19:00:03Z,32727,1328,41
m1ObWFc5nqU,Best & Worst Freelancing Niches for 2024,2024-01-26T18:15:04Z,44132,2427,67
jkO-_IJc69k,"I spent $132,715 in my business in 2023 (& here's what I regret)",2024-01-19T16:42:00Z,17392,862,49
5WcAzExGkQo,Stop making 1-year goals. Do this instead.,2024-01-11T14:30:03Z,5210,394,21
_yLkAuY6q2c,How to Be In the Top 1% of Freelancers in 2024,2023-12-22T21:00:25Z,8481,534,24
p5Pc9JyTgZ0,How to Fire a Freelance Client (without hurting your reputation),2023-12-08T21:30:05Z,2260,128,3
ydqWVUVne7I,how to start your business FAST (inspired by Michael Scott),2023-11-24T21:00:32Z,2671,179,11
JwMrIBVHG2M,how to start freelancing as a busy student (in 30 days),2023-11-10T22:00:10Z,4563,251,18
zMGeEUzzt4k,a deep dive into the business MASTERMIND that is taylor swift,2023-10-08T15:13:28Z,7592,616,36
fRdIIkIInds,"I freelanced for 10,000+ hours. Here's what I learned.",2023-09-11T14:17:38Z,6886,394,19
ILQ5XMIKGkM,"Best & Worst Freelancing Platforms of 2024 (upwork, fiverr, peopleperhour, toptal, guru, etc)",2023-08-11T14:00:14Z,314460,12535,633
EEtttRjlh8o,7 marketing ideas for your small business (inspired by Barbie),2023-07-28T17:16:23Z,2230,200,29
ZrlQbDu9LMQ,I made $20K on Upwork & I regret it.,2023-06-16T20:00:16Z,7306,330,30
_yMIWlXmB00,how to plan your life in Notion (inspired by Monica Geller),2023-05-05T20:00:10Z,3483,158,25
XEqnbLrcGSs,I hired Fiverr freelancers with 0 reviews… here’s what happened,2023-04-22T18:46:39Z,10719,386,34
W7jbcykgcu0,"The Ugly Truth About ""Passive"" Income",2023-04-07T14:00:15Z,3710,194,18
J7-Ee3tNq7o,5 Beginner-Friendly Freelancing Niches for 2024,2023-03-03T14:00:09Z,18304,901,39
yJJBPvpEPmk,How I Would Start to Freelance in 2024 (If I Could Start Over),2023-02-17T15:30:27Z,49186,2547,63
PXsE7Zn8s-U,How I'd Land My 1st Freelance Client (in 48 Hours),2023-02-03T19:37:35Z,38152,2029,67
mNnJyWDT4A8,how I do annual planning for my business,2023-01-27T18:52:04Z,3484,156,25
iHR9_dAxEBs,how I plan my week as a freelancer in 2023 ( + free Notion template),2023-01-20T14:30:12Z,14897,512,70
Z4zLfIPOouE,6 *real* cold pitches that have landed *real* clients,2023-01-13T14:00:15Z,24389,1341,46
S4unCyIdOKg,the CORRECT way to write cold pitches (ft. the worst pitches i’ve ever gotten),2022-12-23T14:30:07Z,12448,736,41
nFx0kpQikRs,how i find the *right clients* to cold pitch (& who NOT to pitch),2022-12-16T15:00:24Z,9216,562,30
xetacYUjGdE,why your cold pitches are being ghosted (& 2 strategies for getting replies),2022-12-10T15:00:27Z,6587,432,24
B7FZf4gSQFU,"I asked 6-figure freelancers what “the secret” to $100,000 is.",2022-12-02T14:30:02Z,8606,482,44
JoUd6Lc9XNo,I turned freelancing into a game (+ free Notion template!),2022-11-25T14:30:08Z,11380,789,59
wpHxWejUA3k,why 90% of freelancers struggle with landing clients,2022-11-21T14:30:13Z,19710,991,69
EMAeyf7CoBQ,how to project plan with Notion (ft. Mean Girls),2022-11-11T14:00:07Z,3842,290,45
K-uYlt40EwY,The Best & Worst Freelancing Tasks I've Been Paid to Do,2022-11-04T14:00:23Z,2207,118,27
GtrJgk4dgu0,I tried these 3 alternatives to the 9-5. here’s what I think of each.,2022-10-28T14:00:18Z,4610,204,12
MflJ0_IkhYA,how I'd land a freelance client with 0 experience,2022-10-21T11:22:42Z,4224,251,14
7668GlO9xxw,don't start a “passive income” business if you have 0 work experience (& do this instead),2022-10-14T12:42:18Z,1278,74,12
krS_drN1O34,wait... is freelancing a “real job”?,2022-10-07T14:30:39Z,634,41,2
4Fvu7v_p3lw,i committed to youtube for 1 year & here’s what happened,2022-09-30T13:30:01Z,1004,95,31
xZYwQpXNeHk,I read Atomic Habits for you.,2022-09-23T13:00:41Z,5153,340,35
cmgsctts8gI,"1 week with my biz bestie (planning, vision & launching a new business)",2022-09-16T13:00:23Z,1006,60,9
FwN9fonlgG4,how long it took me to earn $1 as a freelancer,2022-09-09T12:36:20Z,1317,70,13
fwYHxSV69tg,I try a 4-hour work day & don’t know what to do with myself,2022-09-02T15:45:05Z,5050,263,26
J15evevESFs,if i were starting as a freelancer in 2024 // 14 things i wish i would’ve done earlier,2022-08-26T13:45:00Z,6355,369,20
lpAo-gjv8ng,9 lessons going from $5K to $10K a month as a freelancer,2022-08-19T13:00:25Z,4259,233,16
vLqiyv13H5U,8 lessons going from $1K to $5K a month as a freelancer,2022-08-12T17:53:00Z,2969,178,17
rgkHT7uNJVk,7 lessons going from $0 to $1K as a freelancer // what I wish I knew when I began,2022-08-05T17:48:31Z,8158,480,33
DxaiTUFm7iI,💰 3 things freelance clients will pay $$$ for,2022-07-29T16:31:03Z,1554,93,6
0FaV53SdgKw,🦄  how to become a booked-out & top tier freelancer (the U.N.I.C.O.R.N. factor),2022-07-22T13:08:34Z,1136,74,4
BhftHe-Clqo,"I hit 1,000 subscribers after 9 months (here's what i learned)",2022-07-20T15:34:17Z,663,53,23
xHUrivcJRbg,how to reply to “you’re too expensive” as a freelancer,2022-07-15T11:00:42Z,836,61,17
rTxjndIHk8A,😳 biggest mistakes I've seen on job applications from freelancers,2022-07-12T16:49:31Z,601,41,6
AnCc-8fTOR0,how I started freelancing WHILE working a 9-5 job,2022-07-08T13:00:06Z,5575,301,20
znRRtmNkV7w,💰 how to decide what to offer as a freelancer // use my D.I.P. formula,2022-07-05T19:28:16Z,2764,216,11
wgaqwBntCm8,🐣 how I found & landed my FIRST upwork job (with 0 experience + 0 testimonials),2022-07-01T13:30:22Z,44941,1613,57
88eCzg2Vybg,🤝 12 little-known tools for managing remote teams,2022-06-29T18:12:22Z,1085,37,3
ztqpXW7alCg,What to Write in an Upwork Proposal (+ a free proposal template),2022-06-24T15:00:42Z,76244,2844,110
VLGIMwh00Ww,⚡️ how to make an upwork profile that lands clients as a freelancer,2022-06-22T13:45:02Z,35673,1673,45
Bi3QZH_TnrY,🎯 5 freelance platforms to find + land clients,2022-06-17T18:36:17Z,7846,314,34
aVg3nmwXrtc,🐙 how to manage multiple freelance clients like a pro,2022-06-15T14:00:01Z,9496,475,26
e6mWT7Ogxp0,🤑  7 reasons you’re not making MORE money as a freelancer,2022-06-10T13:15:01Z,861,69,4
2_25sdCzxcM,😫  4 reasons you’re STUCK & not scaling as a freelancer,2022-06-08T14:49:46Z,584,47,4
db1E79rkXqE,🚩 upwork jobs you should NOT apply to as a freelancer,2022-06-03T13:00:18Z,1373,83,7
KVxo7citwWw,❌ 9 upwork proposal mistakes that repel clients,2022-06-01T16:00:22Z,3939,213,13
IWgT5FviBYQ,"🗓 how to organize your calendar as a freelancer (time blocking, color-coding & set up)",2022-05-27T13:30:07Z,5384,196,20
tlkKoe_IH-M,freelancing is risky unless you do these 9 things.,2022-05-25T13:30:13Z,988,83,11
IvaaNU282pU,🤝 7 steps to getting referrals as a freelancer (my top tips + free email template),2022-05-20T13:15:01Z,967,57,9
DAc1_EpDE6g,😡 clients stomping on your boundaries? // how to reinforce boundaries as a freelancer,2022-05-18T13:00:11Z,586,47,8
J6_S_3ili_8,🔥 how to NOT burn out as a freelancer // 4 non-negotiable boundaries you need,2022-05-13T14:00:13Z,1592,149,22
ibJEjyb2S20,💰 9 tips for your first $1000 on upwork,2022-05-11T12:38:14Z,4507,308,30
f8nfKYrNlRY,💸 6 free tools you need to start your freelance business,2022-05-06T15:26:51Z,886,65,7
HaE1Y9tchYU,🥇 6 ways to land your first freelance client even with 0 experience,2022-05-04T13:00:09Z,2363,131,14
L7ieFqKGL_o,top 5 introvert-friendly freelancing jobs,2022-04-29T13:17:00Z,2304,120,9
nWtdaquioTM,"6 month youtube review // the good, the bad & the lessons learned",2022-04-27T13:30:12Z,618,47,13
WM5GnDytzcs,Clickup vs. Asana vs. Trello // best project management tool for you,2022-04-22T13:43:28Z,34448,788,47
xv3_hjwaIz8,6 tips to traveling + freelancing full-time,2022-04-20T14:00:32Z,993,58,14
m5NcnaDEFME,why you’re not landing clients // 8 mistakes beginner freelancers make,2022-04-15T12:42:25Z,1040,76,9
2K7DddiZEDw,freelancing dry-spell? 8 tips for slow season,2022-04-13T14:00:02Z,665,60,6
ikrIGklyscQ,"work week in my life // themed days, moving apartments, coworking, deep work, tiktok & calls",2022-04-08T13:45:04Z,2416,96,16
LQTxo0G7Gwg,agency or freelancer? // the good & bad of both,2022-04-06T14:00:08Z,739,45,7
huuQrdU7SMc,how to get paid for your value & NOT your time as a freelancer // hourly rates ➡️  package rates,2022-04-01T13:00:35Z,941,60,7
XLiicvgp__4,health insurance for self-employed freelancers | usa + international options,2022-03-30T16:30:03Z,4693,136,20
o2GvoLAwHMk,how to create a freelance portfolio using Notion (+ free template & step by step walkthrough),2022-03-25T14:04:47Z,48011,1866,122
QR98fWCWp8I,how to onboard freelance clients with dubsado (for free + step-by-step set-up!),2022-03-18T14:00:08Z,11346,433,59
J1j4_T28acw,5 ways to avoid scope creep as a freelancer (+ free script template),2022-03-16T14:00:07Z,799,70,9
h0OdqS9ueQY,9 beginner-friendly freelance jobs | best virtual assistant jobs if you're just starting out online,2022-03-11T13:39:10Z,1322,67,9
_UGv08XP-Qo,9 non-negotiable soft skills that all A+ freelancers have,2022-03-09T14:00:31Z,960,66,7
tnwBvAKMAro,how to get paid as a freelancer online + my fave tools after 5 years of working as a freelancer,2022-03-04T13:45:03Z,14053,545,52
QTeokgrR--o,how to send contracts & invoices as a freelancer (+ a contract checklist & 6 free tools!),2022-03-02T14:00:10Z,37231,1687,69
XdxnAgVQ8z0,how i built my 6-figure online course (step-by-step) + the 6 lessons i learned in the process,2022-02-25T14:00:13Z,3012,155,22
e5vETiRDT-4,👩‍💻 how to hire a digital business manager + benefits of having a dbm,2022-02-18T13:30:14Z,1498,67,11
FeDON5CXSV0,what a workday as a digital business owner looks like - a *realistic day in the life,2022-02-11T13:45:00Z,788,46,10
6iBLZ7tvzbo,7 steps from virtual assistant to digital business manager (the steps i took to become a DBM),2022-02-04T14:30:01Z,2369,92,15
7OMfFo_n2G8,💰 how to get a salary raise as a freelancer,2022-01-28T14:00:02Z,634,45,4
nG_6-ceteyk,💵 4 reasons you need to ask for a raise as a freelancer,2022-01-26T14:00:09Z,563,37,11
hEeqO8uXi-Q,"15+ tools i use daily in my 6-fig online business as a course creator (asana, notion, airtable)",2022-01-21T14:00:11Z,1414,78,22
szQm5dggT6k,how I handle getting rejected as a freelancer,2022-01-14T02:00:12Z,1072,95,14
gHZnwSQllZM,"how i plan my year using notion in 2024 (free template + step-by-step) - goals, quarters & habits",2022-01-07T16:51:05Z,20059,542,77
h_Jk6TmYVuE,how i coped with burnout as a freelancer (symptoms & stages of burnout + tips),2022-01-07T14:00:13Z,1251,105,8
9VVU1d_x_pQ,"1st year of business in review | revenue, social media, email list growth + the good, bad & weird",2021-12-30T14:00:12Z,747,37,17
4bFz5nvDq6g,"7 essential tools you need before freelancing online (contracts, invoices, security)",2021-12-24T13:00:04Z,1691,115,15
e_qcGG7p0Qo,lessons learned from spending $37K in courses & coaching for my business,2021-12-17T14:00:17Z,628,41,7
QffkfVjvdpc,15 digital products to earn money at home (+ examples & sorted by difficulty),2021-12-10T14:00:09Z,1192,71,9
dYhnBcUPFYw,40 tasks you can get paid to do as a freelance digital business manager,2021-12-03T14:00:12Z,5216,208,14
6x0-LrrgqSA,how to figure out your hourly rates as a freelancer (step-by-step walkthrough!),2021-11-26T14:00:06Z,4214,173,18
eMaWe5SjWCA,5 ways to get paid for your freelance services + pros and cons of each,2021-11-19T14:00:30Z,1709,104,13
1SnB2P7Itn8,where I buy gifts for freelance clients (+ examples of gifts i've given),2021-11-12T13:30:01Z,949,44,11
lVZPOEwTX60,how we moved from prague to berlin (7 easy steps lol),2021-11-05T13:30:07Z,706,32,9
B7cVskuMDvc,create a private podcast with me step-by-step (ft. Hello Audio - unfortunately not sponsored),2021-10-29T13:00:11Z,1749,78,13
xoo8oIyZ9iE,11 income streams i've had online (ranked from best to worst),2021-10-22T13:30:09Z,2060,99,13
3qVcga59sr8,the truth about being a full-time entrepreneur + what i wish more entrepreneurs would share with us,2021-10-15T14:00:03Z,554,53,7
xUv3L-s5Kyg,how i landed freelance clients on Facebook groups (+ my 5 fave facebook groups for finding clients),2021-10-08T14:00:24Z,34817,1445,75
cGyB-jhBRew,how to stop feeling bad about *taking time off*,2021-10-01T13:45:01Z,448,40,11
LtUG2Wb7Pdw,our prague apartment & home office tour,2021-09-24T14:00:19Z,1780,48,13
4wmMVBJX0y4,where I found my 41 freelance clients,2021-09-17T14:00:05Z,9730,435,33
nLlvoPhfSvE,how much my $200K/year business costs per month + breaking down each business expense,2021-09-15T16:07:36Z,988,62,22
jS1anpmk524,virtual assistant vs. digital business manager - what's the difference?,2021-09-10T14:00:32Z,4328,204,22
hJmzeIkD_VE,how i plan & schedule my week as a freelancer using notion (free template + productivity tips),2021-09-08T14:00:26Z,14579,573,106
6Ej45sDB790,7 things I did to go from $10/hr to 6 figures as a freelancer,2021-09-03T14:00:03Z,2754,159,21
5sWRjf8zUB4,day in my life as a full-time online business owner (it's chaos),2021-09-01T14:00:04Z,2677,125,12
_dLm_5cFG4c,what a freelance digital business manager does (& real examples of tasks!),2021-08-27T11:43:15Z,14568,657,48
1OTWTXpFuh8,"the reality of working as a freelancer (the good, the bad, and the ugly)",2021-08-25T14:15:00Z,3733,200,14
-KhfvOi9F_k,how I started freelancing with 0 experience (services I offered & tips for getting started!),2021-08-20T13:17:13Z,7398,457,38
WCTa6OgMB2A,welcome & who is deya? (breaking down my journey),2021-08-18T16:00:12Z,12821,393,47
